"avg_price","category_nodes","yt_followers","sales_count","@timestamp","ig_followers","rank_num","sales_total","rank_date","sales_inc","tw_followers","fb_followers","pin_followers","tt_followers","category_id","last_rank_num","country_code","products_total","shop_id","ads_7_count","shop_domain","ads_30_count"
"17.34","[]","0","40505","2022-11-04T15:05:02.967Z","115931","1","42416","2022-10-31","40505","0","0","0","0","0","0","NL","252","7719210","0","pinkgellac.com","10"
"220.09","[]","0","34520","2022-11-04T15:05:02.445Z","0","2","126404","2022-10-31","34520","0","0","0","0","0","0","EE","60","7373631","0","unikquo.com","0"
"35.93","[]","0","30201","2022-11-04T15:05:01.332Z","0","3","41775","2022-10-31","30201","0","0","0","0","0","0","US","175","7369985","0","16nation.com","0"
"365.72","[]","0","21155","2022-11-04T15:05:01.898Z","0","4","22954","2022-10-31","21155","0","0","0","0","0","0","AU","250","7353228","0","www.scandiluxco.com.au","0"
"78.08","[]","0","20410","2022-11-04T15:05:01.880Z","0","5","21462","2022-10-31","20410","0","0","0","0","0","0","NL","144","6976802","0","sportnettenshop.nl","0"
"1.96","[]","0","20245","2022-11-04T15:04:59.284Z","19453","6","20789","2022-10-31","20245","0","0","0","0","0","0","FR","224","7171605","0","pro.leclubleaderprice.fr","17"
"11.66","[]","0","20876","2022-11-04T15:05:02.911Z","0","7","24396","2022-10-31","18722","0","0","0","0","0","193","DE","82","6782192","11","de.mewaii.com","25"
"643.62","[]","0","17905","2022-11-04T15:04:59.284Z","35289","8","31076","2022-10-31","17905","0","0","0","0","0","0","DK","199","7729738","11","dk.stoov.com","13"
"21.1","[12736]","0","16776","2022-11-04T15:05:00.756Z","0","9","17223","2022-10-31","16776","0","0","0","0","0","0","US","62","7393294","0","us.photopaperdirect.com","0"
"479.8","[]","0","15861","2022-11-04T15:05:01.880Z","0","10","26198","2022-10-31","15861","0","0","0","0","0","0","GB","250","7359556","0","www.designericons.com","0"
"722.38","[]","0","17505","2022-11-04T15:05:01.899Z","0","11","23055","2022-10-31","14333","0","0","0","0","0","108","JP","205","7259517","0","felic.store","0"
"773.93","[]","0","14162","2022-11-04T15:04:59.284Z","1549","12","15166","2022-10-31","14162","0","0","0","0","0","0","IN","241","7424666","0","prolific.in","0"
"497.78","[]","0","12681","2022-11-04T15:05:01.879Z","0","13","13797","2022-10-31","12681","0","0","0","0","0","0","IN","194","7674982","0","bonkids.in","0"
"56.63","[]","0","12474","2022-11-04T15:05:02.447Z","0","14","13276","2022-10-31","12474","0","0","0","0","0","0","AT","250","7071289","0","www.ckvet.at","0"
"111211.33","[]","0","12553","2022-11-04T15:04:59.937Z","0","15","15315","2022-10-31","11573","0","0","0","0","0","493","CO","362","7298305","0","punto1.co","0"
"760.11","[12563,12561,12552]","0","11398","2022-11-04T15:05:01.896Z","1748","16","11650","2022-10-31","11398","0","0","0","0","0","0","IN","45","7383429","0","thedya.in","3"
"36.14","[]","0","10513","2022-11-04T15:05:01.899Z","0","17","12720","2022-10-31","10513","0","0","0","0","0","0","US","548","7376620","0","northernroseboutique.com","0"
"971.33","[]","0","9828","2022-11-04T15:04:59.532Z","59563","18","11846","2022-10-31","9828","0","0","0","0","0","0","DO","230","7384484","1","epkrd.com","1"
"176.37","[]","0","11971","2022-11-04T15:04:59.158Z","0","19","23242","2022-10-31","9660","0","0","0","0","0","171","CH","237","7088219","0","ch.acuitis.com","0"
"40.95","[]","0","9502","2022-11-04T15:05:02.914Z","0","20","10513","2022-10-31","9502","0","0","0","0","0","0","US","251","7582090","0","shoplivingstyle.com","0"
"65437.8","[]","0","9269","2022-11-04T15:04:59.961Z","0","21","10401","2022-10-31","9269","0","0","0","0","0","0","ID","82","7671059","0","www.nicekidsofficial.com","0"
"19.28","[]","0","11580","2022-11-04T15:04:59.284Z","0","22","14566","2022-10-31","9060","0","0","0","0","0","149","US","65","7288498","0","edwardsbeachwear.com","0"
"42.06","[]","0","12216","2022-11-04T15:04:59.936Z","0","23","16781","2022-10-31","8880","0","0","0","0","0","103","DE","30","7104991","0","miniindians.com","0"
"9192.55","[]","0","15688","2022-11-04T15:05:00.830Z","4995","24","94260","2022-10-31","8655","0","0","0","0","0","32","AR","181","6971819","0","cierresrro.com.ar","0"
"35.59","[]","0","9818","2022-11-04T15:05:00.205Z","153100","25","13109","2022-10-31","8419","0","0","0","0","0","339","FR","486","7308481","0","casualmode.fr","11"
"30.68","[12742,12741,12736]","0","7504","2022-11-04T15:05:01.372Z","0","26","8360","2022-10-31","7504","0","0","0","0","0","0","US","21","7267220","0","unicmi.co","0"
"639.8","[]","0","53556","2022-11-04T15:05:01.896Z","50890","27","102006","2022-10-31","7494","0","0","0","0","0","2","IN","333","6963466","4","janasyawholesale.in","25"
"54.36","[]","0","7351","2022-11-04T15:05:01.303Z","0","28","8104","2022-10-31","7351","0","0","0","0","0","0","US","50","7688098","0","styllest.com","0"
"30139.29","[12840,12837,12736]","0","7585","2022-11-04T15:05:02.449Z","0","29","8580","2022-10-31","6967","0","0","0","0","0","734","ID","112","7267048","0","sugihglobalkomunika.com","0"
"25.61","[]","0","6525","2022-11-04T15:05:02.442Z","0","30","7206","2022-10-31","6525","0","0","0","0","0","0","US","111","7390759","0","obstinateoctopus.com","0"
"24.33","[]","0","6458","2022-11-04T15:05:02.440Z","0","31","8035","2022-10-31","6458","0","0","0","0","0","0","US","241","6840388","0","razor-shopping.com","0"
"21169.2","[]","0","8871","2022-11-04T15:05:00.831Z","0","32","14357","2022-10-31","6234","0","0","0","0","0","140","MM","467","7073233","0","migoomm.com","0"
"48.82","[]","0","6070","2022-11-04T15:05:00.812Z","0","33","8969","2022-10-31","6070","0","0","0","0","0","0","US","256","7521613","0","www.zfashionshop.com","0"
"23.87","[]","0","5934","2022-11-04T15:05:01.879Z","0","34","6002","2022-10-31","5934","0","0","0","0","0","0","US","30","7365348","0","lockyouth.com","0"
"49.1","[]","0","11375","2022-11-04T15:05:02.443Z","3171","35","17553","2022-10-31","5794","0","0","0","0","0","48","SG","21","6838503","2","www.fiibeautysg.com","25"
"22.95","[]","0","5729","2022-11-04T15:05:01.302Z","0","36","5930","2022-10-31","5729","0","0","0","0","0","0","US","7","7465657","0","trypaddie.com","0"
"17.09","[]","0","5687","2022-11-04T15:05:00.812Z","0","37","6199","2022-10-31","5687","0","0","0","0","0","0","US","148","7479768","0","holibabecompany.com","0"
"5.94","[]","0","5693","2022-11-04T15:05:02.911Z","12546","38","6675","2022-10-31","5653","0","0","0","0","0","0","FR","245","7326271","2","pro.archiduchesse.com","10"
"31.34","[]","0","7722","2022-11-04T15:04:59.530Z","0","39","12794","2022-10-31","5601","0","0","0","0","0","195","US","850","7152162","0","daintypeach.com","0"
"23.74","[]","0","18148","2022-11-04T15:05:00.755Z","0","40","80898","2022-10-31","5366","0","0","0","0","0","14","CH","484","6970008","0","swissecannabis.ch","0"
