"avg_price","category_nodes","yt_followers","sales_count","@timestamp","ig_followers","rank_num","sales_total","rank_date","sales_inc","tw_followers","fb_followers","pin_followers","tt_followers","category_id","last_rank_num","country_code","products_total","shop_id","ads_7_count","shop_domain","ads_30_count"
"639.8","[]","0","53556","2022-11-04T15:04:55.375Z","50890","1","102006","2022-10-31","7494","0","0","0","0","0","2","IN","333","6963466","4","janasyawholesale.in","25"
"17.34","[]","0","40505","2022-11-04T15:04:57.090Z","115931","2","42416","2022-10-31","40505","0","0","0","0","0","0","NL","252","7719210","0","pinkgellac.com","10"
"220.09","[]","0","34520","2022-11-04T15:04:58.125Z","0","3","126404","2022-10-31","34520","0","0","0","0","0","0","EE","60","7373631","0","unikquo.com","0"
"35.93","[]","0","30201","2022-11-04T15:04:57.101Z","0","4","41775","2022-10-31","30201","0","0","0","0","0","0","US","175","7369985","0","16nation.com","0"
"365.72","[]","0","21155","2022-11-04T15:04:55.920Z","0","5","22954","2022-10-31","21155","0","0","0","0","0","0","AU","250","7353228","0","www.scandiluxco.com.au","0"
"11.66","[]","0","20876","2022-11-04T15:04:58.125Z","0","6","24396","2022-10-31","18722","0","0","0","0","0","270","DE","82","6782192","11","de.mewaii.com","25"
"78.08","[]","0","20410","2022-11-04T15:04:55.186Z","0","7","21462","2022-10-31","20410","0","0","0","0","0","0","NL","144","6976802","0","sportnettenshop.nl","0"
"1.96","[]","0","20245","2022-11-04T15:04:57.621Z","19453","8","20789","2022-10-31","20245","0","0","0","0","0","0","FR","224","7171605","0","pro.leclubleaderprice.fr","17"
"23.74","[]","0","18148","2022-11-04T15:04:56.504Z","0","9","80898","2022-10-31","5366","0","0","0","0","0","16","CH","484","6970008","0","swissecannabis.ch","0"
"643.62","[]","0","17905","2022-11-04T15:04:57.621Z","35289","10","31076","2022-10-31","17905","0","0","0","0","0","0","DK","199","7729738","11","dk.stoov.com","13"
"1531.52","[]","0","17840","2022-11-04T15:04:57.622Z","878","11","33560","2022-10-31","4185","0","0","0","0","0","13","CZ","312","6883315","0","damehry.cz","0"
"722.38","[]","0","17505","2022-11-04T15:04:58.948Z","0","12","23055","2022-10-31","14333","0","0","0","0","0","146","JP","205","7259517","0","felic.store","0"
"21.1","[12736]","0","16776","2022-11-04T15:04:56.708Z","0","13","17223","2022-10-31","16776","0","0","0","0","0","0","US","62","7393294","0","us.photopaperdirect.com","0"
"479.8","[]","0","15861","2022-11-04T15:04:55.186Z","0","14","26198","2022-10-31","15861","0","0","0","0","0","0","GB","250","7359556","0","www.designericons.com","0"
"9192.55","[]","0","15688","2022-11-04T15:04:57.333Z","4995","15","94260","2022-10-31","8655","0","0","0","0","0","40","AR","181","6971819","0","cierresrro.com.ar","0"
"773.93","[]","0","14162","2022-11-04T15:04:58.483Z","1549","16","15166","2022-10-31","14162","0","0","0","0","0","0","IN","241","7424666","0","prolific.in","0"
"54.22","[]","0","13097","2022-11-04T15:04:55.896Z","19873","17","26436","2022-10-31","3396","0","0","0","0","0","26","IT","331","6964121","0","www.superga.com","3"
"497.78","[]","0","12681","2022-11-04T15:04:58.811Z","0","18","13797","2022-10-31","12681","0","0","0","0","0","0","IN","194","7674982","0","bonkids.in","0"
